"Specimen.Collection.Date","Black","Hispanic or Latino/a","Native American","Other","White","Asian/Pacific Islander"
2020-03-05,NA,5,NA,5,NA,NA
2020-03-06,NA,5,NA,5,NA,NA
2020-03-07,NA,8,NA,5,NA,NA
2020-03-08,NA,9,NA,5,NA,NA
2020-03-09,NA,9,NA,5,NA,NA
2020-03-10,NA,10,NA,8,NA,NA
2020-03-11,NA,13,NA,11,NA,NA
2020-03-12,NA,13,NA,14,NA,NA
2020-03-13,NA,15,NA,19,7,6
2020-03-14,NA,16,NA,20,12,8
2020-03-15,NA,17,NA,21,18,10
2020-03-16,NA,21,NA,29,37,18
2020-03-17,NA,25,NA,35,48,22
2020-03-18,5,35,NA,39,54,22
2020-03-19,7,37,NA,47,62,25
2020-03-20,10,48,NA,54,70,32
2020-03-21,11,54,NA,56,75,35
2020-03-22,14,59,NA,63,81,38
2020-03-23,17,72,NA,69,90,40
2020-03-24,19,86,NA,74,103,46
2020-03-25,23,99,NA,81,112,55
2020-03-26,27,114,NA,89,122,59
2020-03-27,29,124,NA,93,129,68
2020-03-28,31,129,NA,97,133,70
2020-03-29,32,135,NA,97,133,75
2020-03-30,32,153,NA,102,141,86
2020-03-31,33,170,NA,112,155,97
2020-04-01,37,179,NA,122,160,112
2020-04-02,37,194,NA,126,168,121
2020-04-03,37,201,NA,132,173,127
2020-04-04,37,209,NA,134,176,128
2020-04-05,39,225,NA,141,178,136
2020-04-06,40,244,NA,155,189,142
2020-04-07,43,274,NA,167,195,151
2020-04-08,52,295,NA,176,216,156
2020-04-09,61,318,NA,194,235,163
2020-04-10,62,330,NA,195,238,172
2020-04-11,68,335,NA,200,240,177
2020-04-12,70,341,NA,203,242,182
2020-04-13,72,356,NA,206,245,192
2020-04-14,76,376,NA,212,249,204
2020-04-15,77,394,NA,234,252,212
2020-04-16,77,412,NA,238,257,216
2020-04-17,79,434,NA,244,261,224
2020-04-18,79,442,NA,245,266,224
2020-04-19,80,460,NA,256,267,225
2020-04-20,81,482,NA,261,271,231
2020-04-21,82,501,NA,266,272,237
2020-04-22,84,520,NA,270,274,242
2020-04-23,87,541,NA,274,283,250
2020-04-24,87,559,NA,276,293,256
2020-04-25,89,582,6,290,297,261
2020-04-26,91,602,6,296,298,264
2020-04-27,95,621,6,301,303,267
2020-04-28,95,673,6,310,309,272
2020-04-29,96,697,7,316,317,281
2020-04-30,98,720,7,319,321,287
2020-05-01,98,741,7,323,326,291
2020-05-02,98,772,8,331,327,295
2020-05-03,98,781,8,332,328,297
2020-05-04,100,816,9,333,332,298
2020-05-05,101,850,9,336,335,300
2020-05-06,104,878,9,341,337,304
2020-05-07,104,894,9,343,347,305
2020-05-08,106,915,9,343,350,307
2020-05-09,107,920,9,343,350,308
2020-05-10,107,924,9,343,351,308
2020-05-11,109,941,9,345,355,312
2020-05-12,111,958,9,359,362,323
2020-05-13,112,981,9,361,365,326
2020-05-14,112,1003,10,364,369,330
2020-05-15,115,1019,10,369,374,335
2020-05-16,115,1021,10,369,376,339
2020-05-17,115,1030,10,369,376,340
2020-05-18,116,1059,11,374,380,344
2020-05-19,120,1080,11,379,381,344
2020-05-20,127,1102,11,383,387,347
2020-05-21,127,1114,11,384,390,355
2020-05-22,128,1139,11,386,394,355
2020-05-23,129,1147,11,390,395,358
2020-05-24,130,1152,11,393,396,359
2020-05-25,130,1159,11,393,397,360
2020-05-26,130,1193,11,398,401,365
2020-05-27,133,1213,11,401,404,370
2020-05-28,133,1230,11,403,405,373
2020-05-29,133,1252,11,408,406,375
2020-05-30,134,1265,11,410,409,378
2020-05-31,134,1281,11,414,410,383
2020-06-01,134,1306,11,417,414,389
2020-06-02,135,1336,11,426,416,392
2020-06-03,135,1351,12,428,423,394
2020-06-04,137,1373,12,432,427,399
2020-06-05,139,1389,12,437,431,401
2020-06-06,140,1400,12,438,433,402
2020-06-07,142,1411,12,440,436,402
2020-06-08,143,1433,12,441,442,407
2020-06-09,144,1453,13,443,446,412
2020-06-10,145,1460,13,446,451,415
2020-06-11,145,1472,14,452,453,417
2020-06-12,145,1487,14,455,461,418
2020-06-13,145,1498,14,458,465,420
2020-06-14,145,1505,14,461,469,421
2020-06-15,145,1533,14,463,474,421
2020-06-16,145,1565,14,467,483,424
2020-06-17,147,1599,14,467,496,426
2020-06-18,151,1618,14,471,508,432
2020-06-19,155,1638,15,477,518,434
2020-06-20,157,1662,15,479,524,441
2020-06-21,158,1686,15,480,526,445
2020-06-22,164,1730,16,489,564,452
2020-06-23,174,1765,16,496,580,463
2020-06-24,179,1800,16,507,584,469
2020-06-25,186,1829,16,519,593,479
2020-06-26,191,1874,16,525,600,485
2020-06-27,201,1902,16,526,610,487
2020-06-28,203,1920,17,531,616,492
2020-06-29,205,1959,17,540,626,504
2020-06-30,211,2006,17,550,645,520
2020-07-01,217,2043,18,564,657,528
2020-07-02,227,2082,18,584,683,536
2020-07-03,229,2107,19,621,692,543
2020-07-04,231,2116,19,626,703,543
2020-07-05,234,2137,19,635,712,551
2020-07-06,238,2183,19,645,726,563
2020-07-07,249,2217,19,665,750,574
2020-07-08,253,2279,19,685,768,581
2020-07-09,261,2324,20,703,791,593
2020-07-10,268,2391,20,729,815,599
2020-07-11,272,2424,20,736,830,607
2020-07-12,273,2456,20,749,842,615
2020-07-13,281,2537,20,776,858,623
2020-07-14,290,2599,20,810,897,640
2020-07-15,299,2674,22,839,918,658
2020-07-16,308,2757,22,867,933,669
2020-07-17,334,2820,22,903,955,677
2020-07-18,345,2858,22,915,968,683
2020-07-19,349,2904,22,923,980,687
2020-07-20,356,2976,22,953,1002,702
2020-07-21,362,3043,22,976,1020,716
2020-07-22,371,3103,22,999,1039,732
2020-07-23,381,3165,23,1022,1052,745
2020-07-24,387,3226,23,1041,1075,756
2020-07-25,393,3268,24,1054,1084,764
2020-07-26,397,3304,24,1060,1092,769
2020-07-27,400,3357,24,1071,1107,779
2020-07-28,406,3420,25,1078,1117,788
2020-07-29,412,3494,25,1103,1133,804
2020-07-30,415,3563,25,1121,1151,822
2020-07-31,420,3624,25,1138,1163,843
2020-08-01,426,3650,25,1151,1172,855
2020-08-02,428,3670,25,1158,1177,866
2020-08-03,441,3732,25,1172,1186,873
2020-08-04,444,3784,25,1182,1197,880
2020-08-05,459,3865,26,1193,1203,897
2020-08-06,462,3925,26,1207,1217,906
2020-08-07,466,4008,29,1222,1229,919
2020-08-08,474,4041,30,1231,1235,923
2020-08-09,476,4080,31,1241,1240,926
2020-08-10,478,4133,31,1259,1257,939
2020-08-11,482,4199,31,1275,1267,949
2020-08-12,489,4282,32,1291,1279,964
2020-08-13,495,4339,32,1301,1298,975
2020-08-14,501,4400,33,1309,1307,998
2020-08-15,504,4427,33,1322,1313,1015
2020-08-16,508,4441,33,1331,1315,1024
2020-08-17,514,4485,33,1340,1324,1037
2020-08-18,518,4524,33,1353,1333,1054
2020-08-19,525,4583,33,1363,1340,1068
2020-08-20,537,4620,33,1376,1350,1081
2020-08-21,538,4655,33,1386,1360,1103
2020-08-22,542,4676,33,1387,1367,1113
2020-08-23,543,4700,33,1390,1370,1122
2020-08-24,545,4757,33,1401,1381,1133
2020-08-25,549,4786,33,1420,1396,1145
2020-08-26,553,4836,33,1430,1405,1162
2020-08-27,557,4892,33,1441,1414,1179
2020-08-28,559,4922,33,1451,1428,1188
2020-08-29,561,4942,33,1459,1434,1198
2020-08-30,563,4957,33,1461,1442,1203
2020-08-31,571,4995,33,1474,1449,1221
2020-09-01,578,5031,33,1485,1464,1235
2020-09-02,579,5062,33,1495,1475,1264
2020-09-03,583,5098,34,1514,1487,1283
2020-09-04,587,5138,34,1534,1492,1291
2020-09-05,590,5155,34,1538,1497,1299
2020-09-06,592,5163,34,1544,1499,1306
2020-09-07,597,5178,34,1550,1510,1318
2020-09-08,598,5205,34,1565,1522,1332
2020-09-09,600,5230,34,1573,1532,1357
2020-09-10,605,5253,34,1575,1542,1369
2020-09-11,609,5286,34,1585,1555,1400
2020-09-12,611,5308,34,1590,1562,1407
2020-09-13,612,5316,34,1594,1567,1410
2020-09-14,614,5365,34,1610,1581,1424
2020-09-15,618,5394,34,1623,1599,1442
2020-09-16,622,5434,34,1633,1607,1449
2020-09-17,627,5458,34,1639,1616,1457
2020-09-18,636,5493,34,1650,1637,1469
2020-09-19,639,5510,34,1653,1645,1475
2020-09-20,640,5519,34,1654,1646,1480
2020-09-21,642,5544,35,1663,1656,1487
2020-09-22,642,5564,35,1673,1670,1497
2020-09-23,644,5595,35,1678,1688,1505
2020-09-24,646,5639,35,1684,1698,1517
2020-09-25,651,5655,35,1689,1711,1531
2020-09-26,651,5666,35,1692,1715,1533
2020-09-27,651,5679,35,1697,1724,1537
2020-09-28,654,5711,35,1702,1726,1547
2020-09-29,658,5719,35,1709,1741,1557
2020-09-30,660,5737,35,1713,1757,1571
2020-10-01,662,5754,35,1722,1767,1575
2020-10-02,663,5759,35,1727,1772,1581
2020-10-03,663,5765,35,1729,1779,1585
2020-10-04,664,5770,35,1730,1783,1588
2020-10-05,666,5780,35,1735,1788,1591
2020-10-06,666,5794,35,1741,1798,1598
2020-10-07,666,5806,36,1746,1810,1603
2020-10-08,666,5824,36,1752,1823,1605
2020-10-09,669,5833,36,1756,1838,1611
2020-10-10,671,5841,36,1758,1841,1615
2020-10-11,672,5846,36,1761,1846,1617
2020-10-12,678,5856,36,1768,1853,1621
2020-10-13,683,5877,36,1774,1860,1625
2020-10-14,685,5885,36,1780,1872,1630
2020-10-15,685,5905,36,1787,1880,1635
2020-10-16,690,5917,36,1795,1889,1638
2020-10-17,690,5929,36,1797,1894,1644
2020-10-18,691,5935,36,1799,1896,1644
2020-10-19,691,5947,36,1806,1907,1654
2020-10-20,691,5968,36,1809,1922,1656
2020-10-21,691,5980,36,1812,1933,1659
2020-10-22,693,6004,36,1818,1949,1667
2020-10-23,695,6024,36,1825,1967,1673
2020-10-24,695,6038,36,1830,1976,1677
2020-10-25,698,6048,36,1832,1987,1684
2020-10-26,702,6068,36,1836,2001,1691
2020-10-27,706,6099,36,1846,2020,1700
2020-10-28,708,6130,36,1854,2033,1709
2020-10-29,711,6157,36,1862,2042,1712
2020-10-30,712,6181,36,1867,2060,1722
2020-10-31,713,6198,36,1876,2072,1732
2020-11-01,714,6216,36,1882,2076,1736
2020-11-02,715,6256,36,1890,2109,1751
2020-11-03,720,6290,36,1896,2143,1770
2020-11-04,724,6321,36,1909,2191,1799
2020-11-05,730,6373,38,1923,2225,1813
2020-11-06,736,6410,40,1930,2276,1822
2020-11-07,741,6441,40,1936,2289,1833
2020-11-08,742,6449,40,1941,2299,1835
2020-11-09,745,6503,40,1961,2332,1848
2020-11-10,752,6543,41,1975,2370,1861
2020-11-11,755,6581,41,1986,2410,1875
2020-11-12,760,6648,42,2003,2439,1900
2020-11-13,765,6695,42,2020,2464,1916
2020-11-14,768,6719,42,2028,2491,1928
2020-11-15,768,6739,42,2040,2512,1936
2020-11-16,773,6808,42,2071,2542,1965
2020-11-17,780,6848,42,2099,2583,1987
2020-11-18,786,6886,42,2139,2645,2018
2020-11-19,793,6932,42,2182,2687,2041
2020-11-20,805,6958,42,2202,2719,2049
2020-11-21,808,6972,42,2212,2733,2056
2020-11-22,811,6983,42,2216,2739,2060
2020-11-23,811,6983,42,2216,2739,2060
